step,L_uH,r_1_mOhm,C_uF,r_C_mOhm,avg_vout,ripple_vout,std_vout,min_vout,max_vout,delta_avg_vout,delta_ripple_vout,delta_std_vout,health_index,RUL,is_anomaly,label,fault_type,sim_success,healthy_avg_vout,healthy_ripple_vout,healthy_std_vout
52,0.499974738643301,5.00151568140195,129.98686126581,3.00151568140195,3.64582402446429,0.0911294147591422,0.0235503795137027,3.60733552323094,3.69846493799008,-0.00381563420896569,-0.051849448965207,-0.00747351465566892,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
53,0.499974733590524,5.00151598456854,129.986857223589,3.00151598456854,3.64582402080243,0.0911294162126595,0.0235503792479451,3.60733551805613,3.69846493426879,-0.00381563787082584,-0.0518494475116897,-0.00747351492142651,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
54,0.499974728536737,5.00151628779578,129.986853180559,3.00151628779578,3.64582401713984,0.0911294176672564,0.0235503789822449,3.60733551287969,3.69846493054695,-0.00381564153341429,-0.0518494460570929,-0.00747351518712672,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
55,0.499974723481939,5.00151659108367,129.986849136721,3.00151659108367,3.64582401347652,0.091129419121518,0.0235503787163951,3.60733550770289,3.69846492682441,-0.00381564519674038,-0.0518494446028313,-0.00747351545297647,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
56,0.49997471842613,5.00151689443222,129.986845092073,3.00151689443222,3.64582400981248,0.0911294205765181,0.0235503784506314,3.60733550252469,3.69846492310121,-0.00381564886077346,-0.0518494431478311,-0.00747351571874023,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
57,0.499974713369309,5.00151719784144,129.986841046617,3.00151719784144,3.64582400614766,0.091129422032401,0.0235503781847304,3.60733549734494,3.69846491937734,-0.00381565252559835,-0.0518494416919482,-0.00747351598464117,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
58,0.499974708311477,5.00151750131136,129.986837000351,3.00151750131136,3.64582400248216,0.0911294234878364,0.0235503779188186,3.6073354921649,3.69846491565273,-0.0038156561910947,-0.0518494402365128,-0.00747351625055299,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
59,0.499974703252634,5.00151780484197,129.986832953277,3.00151780484197,3.64582399881593,0.0911294249434937,0.023550377652853,3.60733548698361,3.69846491192711,-0.00381565985732424,-0.0518494387808555,-0.00747351651651859,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
60,0.499974698192778,5.0015181084333,129.986828905392,3.0015181084333,3.64582399514892,0.0911294263997982,0.0235503773867928,3.60733548180082,3.69846490820062,-0.00381566352433582,-0.0518494373245511,-0.00747351678257884,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
61,0.499974693131911,5.00151841208535,129.986824856698,3.00151841208535,3.64582399148122,0.0911294278563513,0.0235503771207082,3.60733547661743,3.69846490447378,-0.0038156671920424,-0.051849435867998,-0.00747351704866338,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
62,0.499974688070031,5.00151871579814,129.986820807194,3.00151871579814,3.64582398781271,0.0911294293136002,0.0235503768546071,3.60733547143245,3.69846490074605,-0.0038156708605519,-0.051849434410749,-0.00747351731476448,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
63,0.499974683007139,5.00151901957167,129.986816756881,3.00151901957167,3.64582398414355,0.091129430769493,0.0235503765883219,3.60733546624814,3.69846489701764,-0.00381567452970799,-0.0518494329548562,-0.00747351758104967,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
64,0.499974677943234,5.00151932340597,129.986812705757,3.00151932340597,3.64582398047359,0.0911294322271439,0.0235503763221582,3.60733546106109,3.69846489328824,-0.003815678199663,-0.0518494314972053,-0.00747351784721343,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
65,0.499974672878316,5.00151962730104,129.986808653822,3.00151962730104,3.64582397680293,0.091129433685293,0.0235503760558568,3.60733545587299,3.69846488955828,-0.00381568187032988,-0.0518494300390562,-0.0074735181135148,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
66,0.499974667812385,5.00151993125689,129.986804601078,3.00151993125689,3.64582397313159,0.0911294351433889,0.0235503757894685,3.60733545068434,3.69846488582773,-0.00381568554167,-0.0518494285809603,-0.00747351837990311,1,0,1,failed,none,1,3.64963965867326,0.142978863724349,0.0310238941693716
